username,profile_name,url,followers,youtube_url,youtube_score,youtube_not_sure,twitch_url,twitch_score,twitch_not_sure,platform_url,platform_type,url_type,url_source,requires_video_selection,duration,title,valid,reason
kirstnicolexo,kirstie (taylor’s version),http://brokenblame.tumblr.com/,350,https://www.youtube.com/@_kirstynicole_,50,0,,0,0,https://www.youtube.com/@_kirstynicole_,youtube,channel,youtube,True,,,,
aliceyinyang,melis |,https://instagram.com/lifeisaroadtrip_/,957,https://www.youtube.com/channel/UCBEMO8xjBvRxWvBvBj9IkDw,50,0,,0,0,https://www.youtube.com/channel/UCBEMO8xjBvRxWvBvBj9IkDw,youtube,channel,youtube,True,,,,
Jus_de_fruit,MM,https://linktr.ee/fruity999,405,https://www.youtube.com/channel/UCKda69fwddJ78Avdl6840iw,50,0,,0,0,https://www.youtube.com/channel/UCKda69fwddJ78Avdl6840iw,youtube,channel,youtube,True,,,,
UpSyddigital,UpSyd Digital Networks,https://youtube.com/@upsyddigitalnetworks?si=Ay07wB37B313veYp,418,https://www.youtube.com/@UpSydDigitalNetworks,85,0,,0,0,https://youtube.com/@upsyddigitalnetworks?si=Ay07wB37B313veYp,youtube,video,original,,,,,
burnbrights,Majo🎬✨,https://letterboxd.com/burnbrights/,1318,https://www.youtube.com/channel/UChbVkLSoQCBUjkBJCDCggGQ,50,0,,0,0,https://www.youtube.com/channel/UChbVkLSoQCBUjkBJCDCggGQ,youtube,channel,youtube,True,,,,
LucknawiRooh,Nilufer Bhateja,https://x.com/lucknawirooh,2793,https://www.youtube.com/@RoohNaqvi,50,0,,0,0,https://www.youtube.com/@RoohNaqvi,youtube,channel,youtube,True,,,,
JumpersJump,Jump Start Jumpers,https://x.com/jumpersjump,1,https://www.youtube.com/channel/UCRFF8xw5dg9mL4r5ryFOtKw,50,0,,0,0,https://www.youtube.com/channel/UCRFF8xw5dg9mL4r5ryFOtKw,youtube,channel,youtube,True,,,,
foreverunfelled,Jack Kline's 🦄 (Lucy) he/they🏳‍🌈 8 🦆 🔥🐉 🟦,https://www.randomacts.org/,454,https://www.youtube.com/channel/UCuaRQTP2datF13IbNrtwLDg,50,0,,0,0,https://www.youtube.com/channel/UCuaRQTP2datF13IbNrtwLDg,youtube,channel,youtube,True,,,,
DIY28,DIY,https://x.com/diy28,1868,https://www.youtube.com/channel/UC5iao-khHM7fP9hLC1xN-qQ,50,0,,0,0,https://www.youtube.com/channel/UC5iao-khHM7fP9hLC1xN-qQ,youtube,channel,youtube,True,,,,
__Forceofnature,Cha',https://x.com/__forceofnature,18,https://www.youtube.com/channel/UCkH4nfYuzjZXCPuuHL-swNg,50,0,,0,0,https://www.youtube.com/channel/UCkH4nfYuzjZXCPuuHL-swNg,youtube,channel,youtube,True,,,,
bellatrix134340,lan⁷ 💛,https://x.com/bellatrix134340,1074,https://www.youtube.com/@Bellatrix_gg,50,0,https://www.twitch.tv/bellatrix,60,0,https://www.youtube.com/@Bellatrix_gg,youtube,channel,youtube,True,,,,
inahreads,inah 🍉,https://linktr.ee/inahreads,1588,,0,0,https://www.twitch.tv/inah,60,0,https://www.twitch.tv/inah,twitch,channel,twitch,True,,,,
louis0nfire,louis0nfire,https://x.com/louis0nfire,588,https://www.youtube.com/channel/UCa3WYAAskqv90NZP5ikmjlg,50,0,,0,0,https://www.youtube.com/channel/UCa3WYAAskqv90NZP5ikmjlg,youtube,channel,youtube,True,,,,
Mauricio_Mejia,Mauricio Mejía,https://youtu.be/0M-L64VjpeU,310020,https://www.youtube.com/channel/UCvH3gJJc6EzY71Uz-2YUQKQ,50,0,,0,0,https://youtu.be/0M-L64VjpeU,youtube,video,original,,518.0,Cap. 4 Así Quiero Que Sea Mi Boda - El Reality - F,True,valid
dwmdn,ㅁㄷㄷ,https://x.com/dwmdn,375,https://www.youtube.com/@dwmdn,85,0,,0,0,https://www.youtube.com/@dwmdn,youtube,channel,youtube,True,,,,
anotherschwab,"Andrew T. Schwab, Ed.D.",http://anotherschwab.com/,4728,https://www.youtube.com/user/anotherschwab,85,0,,0,0,https://www.youtube.com/user/anotherschwab,youtube,channel,youtube,True,,,,
wincheswift,⚭ carla (taylor's version) 🪩,https://x.com/wincheswift,1743,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,50,0,,0,0,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,youtube,channel,youtube,True,,,,
ScruffyBunnyNL,ScruffyBunny 🐇,https://x.com/scruffybunnynl,399,https://www.youtube.com/channel/UCmnVcreKJdmOhIhaVj9UZOw,50,0,https://www.twitch.tv/scruffybunnynl,85,0,https://www.youtube.com/channel/UCmnVcreKJdmOhIhaVj9UZOw,youtube,channel,youtube,True,,,,
tempusfrangit,Keoieid,https://x.com/tempusfrangit,613,https://www.youtube.com/channel/UC7jR7MtCgmQqEYbtAM1n4PA,50,0,,0,0,https://www.youtube.com/channel/UC7jR7MtCgmQqEYbtAM1n4PA,youtube,channel,youtube,True,,,,
AnnaDreams_Art,"Anna, just a 🍁on the wind.",https://x.com/annadreams_art,1483,https://www.youtube.com/channel/UCP1meSD-Sdv9vzqh4xYua6Q,50,0,,0,0,https://www.youtube.com/channel/UCP1meSD-Sdv9vzqh4xYua6Q,youtube,channel,youtube,True,,,,
TheWordN3rd,Margaret | Dean of the Tortured Writers Dept✒️🤍📚,http://linktr.ee/TheWordN3rd,1324,https://www.youtube.com/c/TheWordN3rd,85,0,,0,0,https://www.youtube.com/c/TheWordN3rd,youtube,channel,youtube,True,,,,
thebrittneyw,Brittney Williams | The Reclusive Blogger,https://thereclusiveblogger.com/,1865,https://www.youtube.com/@Brittney_Reacts_,50,0,https://www.twitch.tv/brittney,60,0,https://www.youtube.com/@Brittney_Reacts_,youtube,channel,youtube,True,,,,
DrewWinchester,anariel - celebrían,https://toyhou.se/Sarha_Kinomiya,4960,https://www.youtube.com/channel/UCYzRM8-n3ASsPUbIs96vrFA,50,0,https://www.twitch.tv/drew,60,0,https://www.youtube.com/channel/UCYzRM8-n3ASsPUbIs96vrFA,youtube,channel,youtube,True,,,,
SilverFaeryhawk,Silver Faeryhawk,http://silverfaeryhawk.com/,2501,https://www.youtube.com/channel/UCZEpfibUOVGYre90QhVpykQ,50,0,,0,0,https://www.youtube.com/channel/UCZEpfibUOVGYre90QhVpykQ,youtube,channel,youtube,True,,,,
subha26,சுபா (subha)🪔,https://x.com/subha26,1065,https://www.youtube.com/@subha2611,85,0,,0,0,https://www.youtube.com/@subha2611,youtube,channel,youtube,True,,,,
willmadrazo,Will M.,http://instagram.com/willmadrazo/,892,https://www.youtube.com/channel/UCSzZhJJ17BxCvXMy5p40Igw,50,0,,0,0,https://www.youtube.com/channel/UCSzZhJJ17BxCvXMy5p40Igw,youtube,channel,youtube,True,,,,
LauraKatharineX,laura ❀,https://archiveofourown.org/users/divine_dissatisfaction,1152,https://www.youtube.com/channel/UCZy6FZLTQC2tN6sE_nTVigw,50,0,,0,0,https://www.youtube.com/channel/UCZy6FZLTQC2tN6sE_nTVigw,youtube,channel,youtube,True,,,,
brucethegirl,Christine(like the ghost car🚘) Bruce,http://caabr.org/,530,https://www.youtube.com/@marilynbruce,50,0,,0,0,https://www.youtube.com/@marilynbruce,youtube,channel,youtube,True,,,,
RekkaAlexiel,Rekka Alexiel,https://firesanctuary.com/,3323,https://www.youtube.com/c/RekkaAlexiel,85,0,https://www.twitch.tv/rekkaalexiel,85,0,https://www.youtube.com/c/RekkaAlexiel,youtube,channel,youtube,True,,,,
_niaow,ᶰ ᵎ ᵃ,https://bsky.app/profile/niaow.bsky.social,1162,,0,0,https://www.twitch.tv/niaow,60,0,https://www.twitch.tv/niaow,twitch,channel,twitch,True,,,,
hahahafsa,hafsa,http://instagram.com/hahahafsa_,631,https://www.youtube.com/channel/UCX1hY2ihqxDdZocETzd-yAw,50,0,https://www.twitch.tv/hafsa,60,0,https://www.youtube.com/channel/UCX1hY2ihqxDdZocETzd-yAw,youtube,channel,youtube,True,,,,
thankyou2NE1,lari,https://x.com/thankyou2ne1,3,https://www.youtube.com/@ThankYou2NE1,85,0,,0,0,https://www.youtube.com/@ThankYou2NE1,youtube,channel,youtube,True,,,,
Hussain_gg,Hussain(INFP),https://www.youtube.com/channel/UCC6e3A4WsBg8jfFXpdmjFzg,374,https://www.youtube.com/channel/UCQS9wN4pNfQ0VNHJRPqj2OQ,50,0,https://www.twitch.tv/hussain,60,0,https://www.youtube.com/channel/UCC6e3A4WsBg8jfFXpdmjFzg,youtube,channel,original,True,,,,
joshhrayy,josh,https://x.com/joshhrayy,18035,https://www.youtube.com/channel/UCGYlNGlloLLZiAL3zBgbMgQ,50,0,,0,0,https://www.youtube.com/channel/UCGYlNGlloLLZiAL3zBgbMgQ,youtube,channel,youtube,True,,,,
Uhmanduh,Amanda,https://x.com/uhmanduh,436,https://www.youtube.com/user/choclatepoptarts101,50,0,https://www.twitch.tv/amanduhmanduh,85,0,https://www.youtube.com/user/choclatepoptarts101,youtube,channel,youtube,True,,,,
jiminstreble,yena⁷ ; (๑ↀᆺↀ๑)✧,https://soundcloud.com/phillinemyself,1686,https://www.youtube.com/@ParkJiminOfficial,50,0,,0,0,https://www.youtube.com/@ParkJiminOfficial,youtube,channel,youtube,True,,,,
BiancaLoran,☽ B Plant ☾,https://biancaloran.carrd.co/,1387,https://www.youtube.com/c/lanaraintv,50,0,https://www.twitch.tv/biancaloran,85,0,https://www.youtube.com/c/lanaraintv,youtube,channel,youtube,True,,,,
imchilllikethat,Catherine Elizabeth,https://x.com/imchilllikethat,0,https://www.youtube.com/channel/UC6x7GwJxuoABSosgVXDYtTw,50,0,,0,0,https://www.youtube.com/channel/UC6x7GwJxuoABSosgVXDYtTw,youtube,channel,youtube,True,,,,
blovesastro,hi,https://x.com/blovesastro,1,https://www.youtube.com/@BloveSYT,50,0,https://www.twitch.tv/astro,60,0,https://www.youtube.com/@BloveSYT,youtube,channel,youtube,True,,,,
delia_a,Delia,https://x.com/delia_a,511,https://www.youtube.com/channel/UCVd_Bc2wY0syaItGNCuO6og,50,0,https://www.twitch.tv/delia_,60,0,https://www.youtube.com/channel/UCVd_Bc2wY0syaItGNCuO6og,youtube,channel,youtube,True,,,,
yoongsvibe,non⁷,https://x.com/yoongsvibe,3165,https://www.youtube.com/channel/UCj2hHfx04aaYuy9isZsDDuQ,50,0,,0,0,https://www.youtube.com/channel/UCj2hHfx04aaYuy9isZsDDuQ,youtube,channel,youtube,True,,,,
CalmJTM,Tyluhhh,https://x.com/calmjtm,3588,https://www.youtube.com/channel/UChSpME3QaSFAWK8Hpmg-Dyw,50,0,,0,0,https://www.youtube.com/channel/UChSpME3QaSFAWK8Hpmg-Dyw,youtube,channel,youtube,True,,,,
shaunaparmesan,Shauna Lynn (Панчишин),https://linktr.ee/shaunaparmesan,3147,https://www.youtube.com/@ShaunaLynnIllustrates,50,0,,0,0,https://www.youtube.com/@ShaunaLynnIllustrates,youtube,channel,youtube,True,,,,
aryllins,ARYLL 🌙 @ Otakuthon #1711,http://aryll.tumblr.com/,22526,,0,0,https://www.twitch.tv/aryll,60,0,https://www.twitch.tv/aryll,twitch,channel,twitch,True,,,,
octoberxswimmer,doom4gloom,http://octoberxswimmer.livejournal.com/,1430,,0,0,https://www.twitch.tv/october,60,0,https://www.twitch.tv/october,twitch,channel,twitch,True,,,,
pinkygirl06,Jan Smith,https://x.com/pinkygirl06,1526,https://www.youtube.com/user/pinkygirl06,85,0,https://www.twitch.tv/pinkygirl,60,0,https://www.youtube.com/user/pinkygirl06,youtube,channel,youtube,True,,,,
amdmw,Amanda Myrna W,http://amdmw.wordpress.com/,524,,0,0,https://www.twitch.tv/amd,60,0,https://www.twitch.tv/amd,twitch,channel,twitch,True,,,,
tangledtori,𝖙𝖔𝖗𝖎,https://linktr.ee/tangledtori,1212,https://www.youtube.com/channel/UCNLYWcjPSuSrKDOmySRPWWg,50,0,https://www.twitch.tv/tangledtori,85,0,https://www.youtube.com/channel/UCNLYWcjPSuSrKDOmySRPWWg,youtube,channel,youtube,True,,,,
AoLun8,al 🐯🇹🇼 🔜 BLFC,https://www.furaffinity.net/user/aolun,3040,https://www.youtube.com/@LUN8_Official,50,0,https://www.twitch.tv/aolun8,85,0,https://www.youtube.com/@LUN8_Official,youtube,channel,youtube,True,,,,
MatthewBoulden,Matthew Boulden,http://www.theroar.com.au/author/matthew-boulden/,848,https://www.youtube.com/@MatthewGolden22,50,0,,0,0,https://www.youtube.com/@MatthewGolden22,youtube,channel,youtube,True,,,,
TealaSmile,TTLYTEALA,https://x.com/tealasmile,12,https://www.youtube.com/@TealEmile,50,0,,0,0,https://www.youtube.com/@TealEmile,youtube,channel,youtube,True,,,,
danibrstl,danielle,https://twitter.com/ArianaGrande/status/281260691875303424?s=01,1373,https://www.youtube.com/@Danidev,50,0,,0,0,https://www.youtube.com/@Danidev,youtube,channel,youtube,True,,,,
CDawgVA,Connor,https://www.youtube.com/c/CDawgVA,996930,https://www.youtube.com/channel/UCPsZ_0SkFdi551iYTG04R2g,50,0,https://www.twitch.tv/cdawg,60,0,https://www.youtube.com/c/CDawgVA,youtube,channel,original,True,,,,
