ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"104.27.8.137","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","34","100","13","13","2025-08-28T12:14:35.855Z","1790"
"104.27.8.163","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","26","100","13","13","2025-08-28T12:14:34.168Z","3585"
"104.27.7.107","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","13","100","13","13","2025-08-28T12:14:33.129Z","1687"
"104.27.8.125","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","18","100","13","13","2025-08-28T12:14:33.291Z","3688"
"104.27.68.41","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","14","14","2025-08-28T12:14:32.784Z","2302"
"104.27.8.120","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","9","100","13","13","2025-08-28T12:14:32.941Z","3681"
"104.27.33.0","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","21","100","13","13","2025-08-28T12:14:09.855Z","2391"
"104.27.8.162","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","10","100","13","13","2025-08-28T12:14:01.065Z","3971"
"104.27.28.230","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","18","100","13","13","2025-08-28T12:13:58.343Z","4020"
"104.27.6.79","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","25","100","13","13","2025-08-28T12:13:56.827Z","4600"
"104.27.7.201","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","11","100","13","13","2025-08-28T12:13:55.061Z","4775"
"104.27.113.121","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","19","100","13","13","2025-08-28T12:13:38.162Z","3917"
"104.31.16.110","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","27","100","13","13","2025-08-28T12:13:36.858Z","4275"
"104.27.12.248","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","24","100","12","12","2025-08-28T12:13:35.060Z","1320"
"104.27.4.38","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","25","100","13","13","2025-08-28T12:13:33.054Z","1996"
"104.27.94.86","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","11","100","13","13","2025-08-28T12:13:32.222Z","1508"
"104.27.69.187","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","11","100","13","13","2025-08-28T12:13:29.468Z","2480"
"104.27.11.193","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","26","100","13","13","2025-08-28T12:13:20.399Z","3883"
"104.26.8.170","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","11","100","13","13","2025-08-28T12:13:20.156Z","3008"
